frame,time,left_density,right_density,total_density
0,0.0,6,12,18
1,0.04,6,12,18
2,0.08,6,13,19
3,0.12,6,13,19
4,0.16,6,13,19
5,0.2,6,13,19
6,0.24,5,13,18
7,0.28,5,13,18
8,0.32,5,13,18
9,0.36,5,13,18
10,0.4,5,13,18
11,0.44,5,14,19
12,0.48,6,14,20
13,0.52,6,14,20
14,0.56,6,14,20
15,0.6,6,14,20
16,0.64,6,14,20
17,0.68,6,14,20
18,0.72,6,13,19
19,0.76,6,13,19
20,0.8,6,13,19
21,0.84,6,14,20
22,0.88,6,15,21
23,0.92,6,16,22
24,0.96,6,16,22
25,1.0,6,15,21
26,1.04,6,15,21
27,1.08,6,15,21
28,1.12,5,14,19
29,1.16,4,15,19
30,1.2,5,16,21
31,1.24,5,16,21
32,1.28,6,15,21
33,1.32,6,16,22
34,1.36,6,16,22
35,1.4,6,16,22
36,1.44,6,14,20
37,1.48,6,15,21
38,1.52,6,15,21
39,1.56,6,15,21
40,1.6,6,15,21
41,1.64,6,14,20
42,1.68,6,14,20
43,1.72,6,15,21
44,1.76,6,15,21
45,1.8,6,15,21
46,1.84,6,15,21
47,1.88,6,15,21
48,1.92,6,15,21
49,1.96,6,15,21
50,2.0,5,15,20
51,2.04,5,15,20
52,2.08,5,15,20
53,2.12,5,15,20
54,2.16,5,15,20
55,2.2,5,15,20
56,2.24,6,15,21
57,2.28,6,15,21
58,2.32,6,15,21
59,2.36,6,16,22
60,2.4,6,16,22
61,2.44,6,16,22
62,2.48,6,15,21
63,2.52,5,15,20
64,2.56,5,15,20
65,2.6,4,15,19
66,2.64,4,15,19
67,2.68,4,15,19
68,2.72,4,14,18
69,2.76,4,14,18
70,2.8,4,14,18
71,2.84,4,14,18
72,2.88,4,14,18
73,2.92,4,14,18
74,2.96,4,15,19
75,3.0,4,15,19
76,3.04,4,15,19
77,3.08,4,15,19
78,3.12,6,15,21
79,3.16,6,14,20
80,3.2,6,15,21
81,3.24,6,16,22
82,3.28,7,16,23
83,3.32,7,15,22
84,3.36,7,15,22
85,3.4,7,15,22
86,3.44,7,15,22
87,3.48,7,16,23
88,3.52,7,16,23
89,3.56,7,16,23
90,3.6,7,16,23
91,3.64,7,15,22
92,3.68,7,15,22
93,3.72,7,16,23
94,3.76,6,15,21
95,3.8,7,15,22
96,3.84,8,14,22
97,3.88,8,14,22
98,3.92,8,15,23
99,3.96,8,15,23
100,4.0,8,16,24
101,4.04,8,15,23
102,4.08,8,15,23
103,4.12,8,15,23
104,4.16,8,15,23
105,4.2,8,16,24
106,4.24,8,16,24
107,4.28,8,16,24
108,4.32,8,16,24
109,4.36,8,16,24
110,4.4,9,15,24
111,4.44,9,15,24
112,4.48,9,15,24
113,4.52,8,15,23
114,4.56,8,15,23
115,4.6,8,15,23
116,4.64,7,15,22
117,4.68,7,15,22
118,4.72,7,15,22
119,4.76,7,15,22
120,4.8,7,15,22
121,4.84,7,14,21
122,4.88,7,14,21
123,4.92,7,14,21
124,4.96,7,14,21
125,5.0,6,14,20
126,5.04,6,14,20
127,5.08,6,15,21
128,5.12,6,15,21
129,5.16,6,14,20
130,5.2,6,14,20
131,5.24,6,14,20
132,5.28,7,14,21
133,5.32,7,13,20
134,5.36,7,12,19
135,5.4,7,12,19
136,5.44,7,14,21
137,5.48,7,16,23
138,5.52,7,14,21
139,5.56,7,14,21
140,5.6,7,15,22
141,5.64,7,14,21
142,5.68,7,15,22
143,5.72,7,15,22
144,5.76,7,15,22
145,5.8,7,15,22
146,5.84,7,14,21
147,5.88,7,14,21
148,5.92,7,14,21
149,5.96,7,14,21
150,6.0,7,14,21
151,6.04,7,14,21
152,6.08,7,14,21
153,6.12,7,14,21
154,6.16,7,14,21
155,6.2,7,13,20
156,6.24,7,13,20
157,6.28,8,13,21
158,6.32,8,13,21
159,6.36,8,12,20
160,6.4,8,12,20
161,6.44,8,12,20
162,6.48,8,12,20
163,6.52,8,12,20
164,6.56,9,12,21
165,6.6,9,12,21
166,6.64,9,12,21
167,6.68,9,12,21
168,6.72,9,12,21
169,6.76,10,12,22
170,6.8,10,12,22
171,6.84,10,12,22
172,6.88,8,12,20
173,6.92,8,11,19
174,6.96,9,11,20
175,7.0,11,11,22
176,7.04,11,11,22
177,7.08,11,12,23
178,7.12,11,12,23
179,7.16,12,12,24
180,7.2,12,12,24
181,7.24,12,12,24
182,7.28,12,12,24
183,7.32,12,13,25
184,7.36,12,13,25
185,7.4,12,13,25
186,7.44,12,13,25
187,7.48,12,13,25
188,7.52,12,12,24
189,7.56,11,13,24
190,7.6,11,12,23
191,7.64,11,13,24
192,7.68,11,13,24
193,7.72,10,13,23
194,7.76,10,14,24
195,7.8,10,14,24
196,7.84,10,14,24
197,7.88,10,13,23
198,7.92,10,13,23
199,7.96,10,12,22
200,8.0,10,12,22
201,8.04,10,12,22
202,8.08,10,12,22
203,8.12,10,12,22
204,8.16,10,11,21
205,8.2,10,11,21
206,8.24,10,12,22
207,8.28,10,11,21
208,8.32,11,11,22
209,8.36,10,10,20
210,8.4,10,11,21
211,8.44,10,11,21
212,8.48,10,11,21
213,8.52,10,10,20
214,8.56,10,10,20
215,8.6,10,10,20
216,8.64,10,9,19
217,8.68,10,9,19
218,8.72,11,9,20
219,8.76,11,9,20
220,8.8,12,9,21
221,8.84,11,8,19
222,8.88,12,9,21
223,8.92,11,9,20
224,8.96,13,10,23
225,9.0,12,11,23
226,9.04,12,11,23
227,9.08,13,10,23
228,9.12,11,10,21
229,9.16,11,10,21
230,9.2,12,10,22
231,9.24,12,10,22
232,9.28,13,10,23
233,9.32,13,10,23
234,9.36,13,9,22
235,9.4,14,9,23
236,9.44,13,9,22
237,9.48,13,8,21
238,9.52,12,9,21
239,9.56,12,9,21
240,9.6,13,9,22
241,9.64,13,9,22
242,9.68,12,9,21
243,9.72,13,9,22
244,9.76,15,9,24
245,9.8,15,8,23
246,9.84,15,8,23
247,9.88,14,8,22
248,9.92,14,8,22
249,9.96,12,8,20
250,10.0,13,9,22
251,10.04,15,8,23
252,10.08,14,8,22
253,10.12,14,8,22
254,10.16,14,8,22
255,10.2,15,9,24
256,10.24,15,9,24
257,10.28,15,8,23
258,10.32,16,8,24
259,10.36,16,8,24
260,10.4,16,8,24
261,10.44,15,8,23
262,10.48,14,8,22
263,10.52,14,8,22
264,10.56,13,9,22
265,10.6,13,9,22
266,10.64,13,9,22
267,10.68,13,10,23
268,10.72,13,10,23
269,10.76,13,11,24
270,10.8,13,10,23
271,10.84,14,10,24
272,10.88,13,9,22
273,10.92,13,8,21
274,10.96,13,7,20
275,11.0,13,7,20
276,11.04,12,7,19
277,11.08,12,8,20
278,11.12,12,8,20
279,11.16,13,8,21
280,11.2,13,8,21
281,11.24,13,8,21
282,11.28,13,8,21
283,11.32,13,8,21
284,11.36,13,8,21
285,11.4,13,8,21
286,11.44,13,8,21
287,11.48,13,8,21
288,11.52,12,7,19
289,11.56,12,7,19
